4, 11, 5530358, 7070, 0.8893589743589745, 0.03545306460113284, [0.85       0.9        0.9        0.925      0.875      0.825    0.875      0.92307692 0.94871795 0.87179487], 2020-07-07 16:28:47.490438, 2020-07-07 17:48:47.091554
4, 12, 5660370, 7070, 0.8941025641025642, 0.03906345248674379, [0.875      0.875      0.9        0.95       0.85       0.9    0.95       0.82051282 0.92307692 0.8974359 ], 2020-07-07 17:48:47.091560, 2020-07-07 19:09:50.266819
4, 13, 5784702, 7055, 0.8664743589743591, 0.0393894999808864, [0.85       0.875      0.9        0.925      0.85       0.85    0.825      0.79487179 0.92307692 0.87179487], 2020-07-07 19:09:50.266825, 2020-07-07 20:32:17.413466
4, 14, 5907061, 6993, 0.8869230769230769, 0.03719186354572657, [0.85       0.875      0.875      0.925      0.85       0.85    0.875      0.94871795 0.94871795 0.87179487], 2020-07-07 20:32:17.413472, 2020-07-07 21:56:25.759244
5, 8, 4432347, 8193, 0.8692948717948716, 0.05106560894409302, [0.825      0.875      0.9        0.875      0.825      0.8    0.875      0.82051282 0.97435897 0.92307692], 2020-07-07 15:56:46.904123, 2020-07-07 17:20:17.202198
5, 9, 5015385, 7312, 0.8666025641025641, 0.027292113649470658, [0.85       0.9        0.875      0.875      0.825      0.85    0.85       0.84615385 0.92307692 0.87179487], 2020-07-07 17:20:17.202208, 2020-07-07 18:50:47.002386
5, 10, 5372684, 7184, 0.8691025641025641, 0.03100974375511759, [0.8        0.9        0.875      0.9        0.85       0.85    0.875      0.84615385 0.8974359  0.8974359 ], 2020-07-07 18:50:47.002395, 2020-07-07 20:26:15.243585
5, 11, 5602232, 7093, 0.871474358974359, 0.03479682977315132, [0.8        0.9        0.9        0.9        0.9        0.875    0.85       0.82051282 0.8974359  0.87179487], 2020-07-07 20:26:15.243592, 2020-07-07 22:04:40.344298
5, 12, 5763910, 7056, 0.8591025641025641, 0.03699534416395306, [0.8        0.875      0.9        0.875      0.875      0.8    0.825      0.84615385 0.8974359  0.8974359 ], 2020-07-07 22:04:40.344305, 2020-07-07 23:45:22.248040
5, 13, 5898713, 7032, 0.8944230769230769, 0.041672632708970744, [0.85       0.875      0.9        0.925      0.875      0.9    0.85       0.84615385 0.97435897 0.94871795], 2020-07-07 23:45:22.248048, 2020-07-08 01:28:08.434148
5, 14, 6026448, 6984, 0.8741666666666668, 0.03710763392789274, [0.825      0.9        0.9        0.9        0.875      0.85    0.825      0.84615385 0.94871795 0.87179487], 2020-07-08 01:28:08.434154, 2020-07-08 03:13:14.594916
